"unidade","modulo","comment","query_execution_time"
18007,"corregedoria","original","00:00:00.348347"
18007,"corregedoria","original","00:00:00.349741"
18007,"corregedoria","original","00:00:00.348627"
18007,"corregedoria","original","00:00:00.348515"
18007,"corregedoria","original","00:00:00.349175"
18007,"corregedoria","original","00:00:00.34861"
18007,"corregedoria","original","00:00:00.347488"
18007,"corregedoria","original","00:00:00.347267"
18007,"corregedoria","original","00:00:00.348166"
18007,"corregedoria","original","00:00:00.348202"
13325,"corregedoria","original","00:00:01.230344"
13325,"corregedoria","original","00:00:01.254784"
13325,"corregedoria","original","00:00:01.320217"
13325,"corregedoria","original","00:00:01.227352"
13325,"corregedoria","original","00:00:01.201628"
13325,"corregedoria","original","00:00:01.298705"
13325,"corregedoria","original","00:00:01.237369"
13325,"corregedoria","original","00:00:01.378939"
13325,"corregedoria","original","00:00:01.240137"
13325,"corregedoria","original","00:00:01.274357"
18228,"corregedoria","original","00:00:00.92189"
18228,"corregedoria","original","00:00:00.966311"
18228,"corregedoria","original","00:00:00.9256"
18228,"corregedoria","original","00:00:00.834759"
18228,"corregedoria","original","00:00:00.827664"
18228,"corregedoria","original","00:00:00.837783"
18228,"corregedoria","original","00:00:00.826634"
18228,"corregedoria","original","00:00:00.881772"
18228,"corregedoria","original","00:00:00.963879"
18228,"corregedoria","original","00:00:00.839237"
14009,"corregedoria","original","00:00:00.41766"
14009,"corregedoria","original","00:00:00.399668"
14009,"corregedoria","original","00:00:00.397377"
14009,"corregedoria","original","00:00:00.396806"
14009,"corregedoria","original","00:00:00.398675"
14009,"corregedoria","original","00:00:00.400635"
14009,"corregedoria","original","00:00:00.396702"
14009,"corregedoria","original","00:00:00.396958"
14009,"corregedoria","original","00:00:00.397245"
14009,"corregedoria","original","00:00:00.398572"
7433,"corregedoria","original","00:00:02.186013"
7433,"corregedoria","original","00:00:02.134491"
7433,"corregedoria","original","00:00:02.080121"
7433,"corregedoria","original","00:00:01.988327"
7433,"corregedoria","original","00:00:02.027368"
7433,"corregedoria","original","00:00:02.125387"
7433,"corregedoria","original","00:00:01.98977"
7433,"corregedoria","original","00:00:02.02365"
7433,"corregedoria","original","00:00:02.209357"
7433,"corregedoria","original","00:00:02.00942"
3843,"corregedoria","original","00:00:01.625352"
3843,"corregedoria","original","00:00:01.561788"
3843,"corregedoria","original","00:00:01.640528"
3843,"corregedoria","original","00:00:01.557618"
3843,"corregedoria","original","00:00:01.822977"
3843,"corregedoria","original","00:00:01.615758"
3843,"corregedoria","original","00:00:01.566501"
3843,"corregedoria","original","00:00:01.609536"
3843,"corregedoria","original","00:00:01.630365"
3843,"corregedoria","original","00:00:01.668979"
14013,"corregedoria","original","00:00:00.311212"
14013,"corregedoria","original","00:00:00.296833"
14013,"corregedoria","original","00:00:00.295113"
14013,"corregedoria","original","00:00:00.295302"
14013,"corregedoria","original","00:00:00.294911"
14013,"corregedoria","original","00:00:00.294885"
14013,"corregedoria","original","00:00:00.295118"
14013,"corregedoria","original","00:00:00.297309"
14013,"corregedoria","original","00:00:00.297841"
14013,"corregedoria","original","00:00:00.295755"
17384,"corregedoria","original","00:00:01.604074"
17384,"corregedoria","original","00:00:01.2897"
17384,"corregedoria","original","00:00:01.285901"
17384,"corregedoria","original","00:00:01.293157"
17384,"corregedoria","original","00:00:01.29548"
17384,"corregedoria","original","00:00:01.275694"
17384,"corregedoria","original","00:00:01.392052"
17384,"corregedoria","original","00:00:01.412628"
17384,"corregedoria","original","00:00:01.295475"
17384,"corregedoria","original","00:00:01.278279"
18104,"corregedoria","original","00:00:01.952307"
18104,"corregedoria","original","00:00:01.918077"
18104,"corregedoria","original","00:00:01.893573"
18104,"corregedoria","original","00:00:01.972179"
