"unidade","modulo","comment","query_execution_time"
44508,"fluxograma","original","00:00:07.209249"
44508,"fluxograma","original","00:00:06.376076"
44508,"fluxograma","original","00:00:06.602732"
44508,"fluxograma","original","00:00:06.637176"
44508,"fluxograma","original","00:00:06.776835"
44508,"fluxograma","original","00:00:06.420279"
44508,"fluxograma","original","00:00:06.850699"
44508,"fluxograma","original","00:00:06.894018"
44508,"fluxograma","original","00:00:06.551799"
44508,"fluxograma","original","00:00:07.056741"
8380,"fluxograma","original","00:00:01.684397"
8380,"fluxograma","original","00:00:01.665886"
8380,"fluxograma","original","00:00:01.665854"
8380,"fluxograma","original","00:00:01.689682"
8380,"fluxograma","original","00:00:01.671398"
8380,"fluxograma","original","00:00:01.765971"
8380,"fluxograma","original","00:00:01.779163"
8380,"fluxograma","original","00:00:01.755918"
8380,"fluxograma","original","00:00:01.662109"
8380,"fluxograma","original","00:00:01.670436"
18104,"fluxograma","original","00:00:01.868338"
18104,"fluxograma","original","00:00:01.866443"
18104,"fluxograma","original","00:00:01.839134"
18104,"fluxograma","original","00:00:02.145623"
18104,"fluxograma","original","00:00:01.869638"
18104,"fluxograma","original","00:00:01.815114"
18104,"fluxograma","original","00:00:01.874047"
18104,"fluxograma","original","00:00:01.842014"
18104,"fluxograma","original","00:00:02.066054"
18104,"fluxograma","original","00:00:01.900037"
17384,"fluxograma","original","00:00:01.287783"
17384,"fluxograma","original","00:00:01.263896"
17384,"fluxograma","original","00:00:01.364381"
17384,"fluxograma","original","00:00:01.382719"
17384,"fluxograma","original","00:00:01.339129"
17384,"fluxograma","original","00:00:01.456858"
17384,"fluxograma","original","00:00:01.306463"
17384,"fluxograma","original","00:00:01.289772"
17384,"fluxograma","original","00:00:01.257293"
17384,"fluxograma","original","00:00:01.304774"
14013,"fluxograma","original","00:00:00.320583"
14013,"fluxograma","original","00:00:00.29195"
14013,"fluxograma","original","00:00:00.291798"
14013,"fluxograma","original","00:00:00.291053"
14013,"fluxograma","original","00:00:00.291231"
14013,"fluxograma","original","00:00:00.29058"
14013,"fluxograma","original","00:00:00.288461"
14013,"fluxograma","original","00:00:00.291529"
14013,"fluxograma","original","00:00:00.289416"
14013,"fluxograma","original","00:00:00.291092"
3843,"fluxograma","original","00:00:01.584843"
3843,"fluxograma","original","00:00:01.767314"
3843,"fluxograma","original","00:00:01.52134"
3843,"fluxograma","original","00:00:01.582355"
3843,"fluxograma","original","00:00:01.507718"
3843,"fluxograma","original","00:00:01.482071"
3843,"fluxograma","original","00:00:01.479037"
3843,"fluxograma","original","00:00:01.463218"
3843,"fluxograma","original","00:00:01.557498"
3843,"fluxograma","original","00:00:01.48051"
7433,"fluxograma","original","00:00:02.052877"
7433,"fluxograma","original","00:00:02.129852"
7433,"fluxograma","original","00:00:01.990015"
7433,"fluxograma","original","00:00:01.941612"
7433,"fluxograma","original","00:00:01.921129"
7433,"fluxograma","original","00:00:01.926429"
7433,"fluxograma","original","00:00:02.029981"
7433,"fluxograma","original","00:00:01.896601"
7433,"fluxograma","original","00:00:02.173959"
7433,"fluxograma","original","00:00:01.915959"
14009,"fluxograma","original","00:00:00.418478"
14009,"fluxograma","original","00:00:00.38879"
14009,"fluxograma","original","00:00:00.392187"
14009,"fluxograma","original","00:00:00.391658"
14009,"fluxograma","original","00:00:00.389945"
14009,"fluxograma","original","00:00:00.389498"
14009,"fluxograma","original","00:00:00.392636"
14009,"fluxograma","original","00:00:00.393556"
14009,"fluxograma","original","00:00:00.415242"
14009,"fluxograma","original","00:00:00.389568"
18228,"fluxograma","original","00:00:00.869139"
18228,"fluxograma","original","00:00:00.984446"
18228,"fluxograma","original","00:00:00.858462"
18228,"fluxograma","original","00:00:00.834679"
18228,"fluxograma","original","00:00:00.86081"
18228,"fluxograma","original","00:00:00.855337"
18228,"fluxograma","original","00:00:00.840011"
18228,"fluxograma","original","00:00:00.858524"
18228,"fluxograma","original","00:00:00.96204"
18228,"fluxograma","original","00:00:00.846248"
13325,"fluxograma","original","00:00:01.404048"
13325,"fluxograma","original","00:00:01.387861"
13325,"fluxograma","original","00:00:01.283033"
13325,"fluxograma","original","00:00:01.240751"
13325,"fluxograma","original","00:00:01.236351"
13325,"fluxograma","original","00:00:01.250885"
13325,"fluxograma","original","00:00:01.252993"
13325,"fluxograma","original","00:00:01.255971"
13325,"fluxograma","original","00:00:01.289911"
13325,"fluxograma","original","00:00:01.231078"
18007,"fluxograma","original","00:00:00.363301"
18007,"fluxograma","original","00:00:00.360937"
18007,"fluxograma","original","00:00:00.337951"
18007,"fluxograma","original","00:00:00.369419"
18007,"fluxograma","original","00:00:00.445635"
18007,"fluxograma","original","00:00:00.337848"
18007,"fluxograma","original","00:00:00.337204"
18007,"fluxograma","original","00:00:00.336996"
18007,"fluxograma","original","00:00:00.337451"
18007,"fluxograma","original","00:00:00.337483"
44508,"corregedoria","original","00:00:06.872751"
44508,"corregedoria","original","00:00:06.743645"
44508,"corregedoria","original","00:00:06.61874"
44508,"corregedoria","original","00:00:06.879925"
44508,"corregedoria","original","00:00:06.293173"
44508,"corregedoria","original","00:00:06.679055"
44508,"corregedoria","original","00:00:06.815571"
44508,"corregedoria","original","00:00:06.940017"
44508,"corregedoria","original","00:00:06.840278"
44508,"corregedoria","original","00:00:07.079362"
8380,"corregedoria","original","00:00:01.926455"
8380,"corregedoria","original","00:00:01.840837"
8380,"corregedoria","original","00:00:01.780343"
8380,"corregedoria","original","00:00:01.731708"
8380,"corregedoria","original","00:00:01.72607"
8380,"corregedoria","original","00:00:01.74691"
8380,"corregedoria","original","00:00:01.776403"
8380,"corregedoria","original","00:00:01.797859"
8380,"corregedoria","original","00:00:01.98488"
8380,"corregedoria","original","00:00:01.798249"
18104,"corregedoria","original","00:00:01.881105"
18104,"corregedoria","original","00:00:01.973192"
18104,"corregedoria","original","00:00:01.886425"
18104,"corregedoria","original","00:00:01.87328"
18104,"corregedoria","original","00:00:01.974435"
18104,"corregedoria","original","00:00:02.059962"
18104,"corregedoria","original","00:00:02.07606"
18104,"corregedoria","original","00:00:02.144832"
18104,"corregedoria","original","00:00:01.85427"
18104,"corregedoria","original","00:00:01.855293"
17384,"corregedoria","original","00:00:01.386419"
17384,"corregedoria","original","00:00:01.264842"
17384,"corregedoria","original","00:00:01.273724"
17384,"corregedoria","original","00:00:01.340923"
17384,"corregedoria","original","00:00:01.413623"
17384,"corregedoria","original","00:00:01.381166"
17384,"corregedoria","original","00:00:01.25275"
17384,"corregedoria","original","00:00:01.261247"
17384,"corregedoria","original","00:00:01.273911"
17384,"corregedoria","original","00:00:01.279517"
14013,"corregedoria","original","00:00:00.298839"
14013,"corregedoria","original","00:00:00.298694"
14013,"corregedoria","original","00:00:00.299094"
14013,"corregedoria","original","00:00:00.297656"
14013,"corregedoria","original","00:00:00.297469"
14013,"corregedoria","original","00:00:00.297374"
14013,"corregedoria","original","00:00:00.298771"
14013,"corregedoria","original","00:00:00.337162"
14013,"corregedoria","original","00:00:00.300246"
14013,"corregedoria","original","00:00:00.300753"
3843,"corregedoria","original","00:00:01.503409"
3843,"corregedoria","original","00:00:01.513116"
3843,"corregedoria","original","00:00:01.558384"
3843,"corregedoria","original","00:00:01.60905"
3843,"corregedoria","original","00:00:01.617884"
3843,"corregedoria","original","00:00:01.600823"
3843,"corregedoria","original","00:00:01.601343"
3843,"corregedoria","original","00:00:01.516824"
3843,"corregedoria","original","00:00:01.50186"
3843,"corregedoria","original","00:00:01.557212"
7433,"corregedoria","original","00:00:01.93023"
7433,"corregedoria","original","00:00:01.998933"
7433,"corregedoria","original","00:00:02.398218"
7433,"corregedoria","original","00:00:02.040268"
7433,"corregedoria","original","00:00:01.968207"
7433,"corregedoria","original","00:00:01.916002"
7433,"corregedoria","original","00:00:01.967225"
7433,"corregedoria","original","00:00:02.024756"
7433,"corregedoria","original","00:00:01.960294"
7433,"corregedoria","original","00:00:02.045565"
14009,"corregedoria","original","00:00:00.397252"
14009,"corregedoria","original","00:00:00.397719"
14009,"corregedoria","original","00:00:00.401444"
14009,"corregedoria","original","00:00:00.39459"
14009,"corregedoria","original","00:00:00.395643"
14009,"corregedoria","original","00:00:00.396588"
14009,"corregedoria","original","00:00:00.408985"
14009,"corregedoria","original","00:00:00.396797"
14009,"corregedoria","original","00:00:00.398009"
14009,"corregedoria","original","00:00:00.398885"
18228,"corregedoria","original","00:00:00.894225"
18228,"corregedoria","original","00:00:00.902463"
18228,"corregedoria","original","00:00:00.85328"
18228,"corregedoria","original","00:00:00.853347"
18228,"corregedoria","original","00:00:00.879847"
18228,"corregedoria","original","00:00:00.869157"
18228,"corregedoria","original","00:00:00.846783"
18228,"corregedoria","original","00:00:00.859339"
18228,"corregedoria","original","00:00:00.87212"
18228,"corregedoria","original","00:00:00.842888"
13325,"corregedoria","original","00:00:01.304409"
13325,"corregedoria","original","00:00:01.385243"
13325,"corregedoria","original","00:00:01.219043"
13325,"corregedoria","original","00:00:01.212035"
13325,"corregedoria","original","00:00:01.226586"
13325,"corregedoria","original","00:00:01.257698"
13325,"corregedoria","original","00:00:01.268848"
13325,"corregedoria","original","00:00:01.261368"
13325,"corregedoria","original","00:00:01.326929"
13325,"corregedoria","original","00:00:01.271012"
18007,"corregedoria","original","00:00:00.351885"
18007,"corregedoria","original","00:00:00.349745"
18007,"corregedoria","original","00:00:00.349419"
18007,"corregedoria","original","00:00:00.347742"
18007,"corregedoria","original","00:00:00.349818"
18007,"corregedoria","original","00:00:00.349108"
18007,"corregedoria","original","00:00:00.351526"
18007,"corregedoria","original","00:00:00.349531"
18007,"corregedoria","original","00:00:00.350248"
18007,"corregedoria","original","00:00:00.35973"
44508,"fluxograma","optimized","00:00:00.650797"
44508,"fluxograma","optimized","00:00:00.558476"
44508,"fluxograma","optimized","00:00:00.51658"
44508,"fluxograma","optimized","00:00:00.520782"
44508,"fluxograma","optimized","00:00:00.535295"
44508,"fluxograma","optimized","00:00:00.530144"
44508,"fluxograma","optimized","00:00:00.531397"
44508,"fluxograma","optimized","00:00:00.532956"
