Node ,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,2,2,5,6,2.36,1.35,39,1
Requests,3095,3333,3557,3599,3334.62,139.1,3613,2566
Throughput,1519615,1636351,1746943,1767423,1637017.6,68300.33,1773983,1259906
Node fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,2,2,5,6,2.48,1.27,39,1
Requests,3007,3213,3453,3487,3220.39,117.63,3493,2612
Throughput,4452351,4755455,5111807,5160959,4765431.47,174145.67,5169640,3865760
Node addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,2,3,6,9,3.31,1.47,36,1
Requests,2461,2657,2783,2823,2650.32,84.84,2834,2271
Throughput,669183,722943,757247,767999,720746.67,23085.46,770848,617712

Bun ,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,0,0,1,1,0.07,0.28,23,1
Requests,16199,17855,18991,19199,17834.67,705.41,19197,15456
Throughput,3467263,3819519,4061183,4108287,3816567.47,150682.87,4108158,3307584
Bun fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,0,0,1,1,0.12,0.35,16,1
Requests,13559,15359,16735,16863,15338.27,695.73,17017,13392
Throughput,19431423,22003711,23969791,24166399,21978316.8,996707.22,24385361,19190736
Bun addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,0,1,2,3,0.7,1.05,38,1
Requests,7615,8351,9023,9079,8321.49,370.39,9264,7310
Throughput,1713151,1878015,2030591,2042879,1872204.8,83342.71,2084400,1644750

Deno ,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,0,0,1,1,0.2,0.46,26,1
Requests,9671,10871,11607,11703,10825.55,544.1,11745,6869
Throughput,2293759,2576383,2750463,2772991,2565721.6,128957.85,2783565,1627953
Deno fibo,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,0,1,1,1,0.64,0.56,21,1
Requests,8719,9415,10071,10159,9394.02,494.6,10324,5661
Throughput,12697599,13705215,14663679,14786559,13677209.6,720110.03,15031744,8242416
Deno addUser,p2_5,p50,p97_5,p99,average,stddev,max,min
Latency,1,1,2,4,1.15,0.77,33,1
Requests,5247,5711,6191,6231,5725.47,217.81,6266,5211
Throughput,1301503,1416191,1535999,1545215,1419750.4,53979.39,1553968,1292328
