deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:36
node;146.83%;0.25%;80.13MiB;31.18GiB;1.73MB;7.13MB;0B;4.1kB;23;20:52:36
gifted_nobel;0.01%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:36
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:39
node;125.53%;0.29%;92.57MiB;31.18GiB;3.3MB;13.9MB;0B;4.1kB;23;20:52:39
gifted_nobel;0.00%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:39
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:42
node;126.72%;0.26%;82.65MiB;31.18GiB;4.88MB;20.7MB;0B;4.1kB;23;20:52:42
gifted_nobel;0.00%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:42
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:45
node;128.22%;0.30%;97.2MiB;31.18GiB;6.37MB;27.2MB;0B;4.1kB;23;20:52:45
gifted_nobel;0.01%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:45
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:48
node;128.12%;0.27%;86.61MiB;31.18GiB;7.88MB;33.6MB;0B;4.1kB;23;20:52:48
gifted_nobel;0.00%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:48
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:51
node;121.65%;0.28%;89.33MiB;31.18GiB;9.4MB;40.2MB;0B;4.1kB;23;20:52:51
gifted_nobel;0.00%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:51
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:54
node;125.53%;0.26%;83.99MiB;31.18GiB;11MB;46.9MB;0B;4.1kB;23;20:52:54
gifted_nobel;0.00%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:54
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:52:57
node;126.45%;0.29%;91.17MiB;31.18GiB;12.5MB;53.4MB;0B;4.1kB;23;20:52:57
gifted_nobel;0.01%;0.12%;37.41MiB;31.18GiB;19kB;0B;0B;0B;8;20:52:57
deno;0.00%;0.13%;42.8MiB;31.18GiB;19.3kB;5.34kB;0B;176kB;9;20:53:00
